Contrast name:,Group (joke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],
,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.178326,0.047772,3.732874,20.000000,0.000656,0.001074
2,1399,139,1.000000,0.131172,0.053617,2.446477,20.000000,0.011897,0.014277
3,4863,486,1.000000,0.329542,0.067543,4.878972,20.000000,0.000045,0.000174
4,5104,510,1.000000,0.170694,0.061927,2.756383,20.000000,0.006087,0.007826
5,888,88,1.000000,0.179637,0.075998,2.363704,20.000000,0.014164,0.015531
6,1015,101,1.000000,0.067966,0.054983,1.236122,20.000000,0.115367,0.115367
7,3526,352,1.000000,0.203749,0.046648,4.367814,20.000000,0.000149,0.000383
8,3381,338,1.000000,0.102701,0.043759,2.346967,20.000000,0.014668,0.015531
9,1858,185,1.000000,0.237844,0.044464,5.349182,20.000000,0.000015,0.000093
10,1770,177,1.000000,0.119052,0.040927,2.908875,20.000000,0.004340,0.006009
11,2147,214,1.000000,0.327854,0.058189,5.634286,20.000000,0.000008,0.000073
12,2371,237,1.000000,0.220259,0.053519,4.115543,20.000000,0.000268,0.000604
13,2447,244,1.000000,0.220361,0.033412,6.595302,20.000000,0.000001,0.000018
14,1345,134,1.000000,0.173245,0.044333,3.907796,20.000000,0.000436,0.000873
15,2065,206,1.000000,0.179242,0.037545,4.774107,20.000000,0.000058,0.000174
16,2222,222,1.000000,0.176024,0.045966,3.829487,20.000000,0.000524,0.000943
17,1400,140,1.000000,0.249304,0.052039,4.790731,20.000000,0.000056,0.000174
18,1313,131,1.000000,0.110060,0.035049,3.140135,20.000000,0.002577,0.003865
